Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,32393559.77,17829331.84,371034.7,18200366.54,0.5619,13098618.37,0.4044,1094574.86,0.0338,,0.0
1.0,112011603.0,Conewago Valley SD,Adams,74670109.02,40228005.400000006,1061782.51,41289787.91,0.553,21330980.75,0.2857,2499340.36,0.0335,9550000.0,0.1279
1.0,112013054.0,Fairfield Area SD,Adams,19831871.19,12008287.34,339823.09,12348110.43,0.6226,6963923.97,0.3511,519836.79,0.0262,,0.0
1.0,112013753.0,Gettysburg Area SD,Adams,65050653.43,40897932.42,3016996.04,43914928.46,0.6751,19314678.23,0.2969,1813654.91,0.0279,7391.83,0.0001
1.0,112015203.0,Littlestown Area SD,Adams,35618751.55,20797247.2,310083.8,21107331.0,0.5926,13309256.6,0.3737,1158920.95,0.0325,43243.0,0.0012
1.0,112018523.0,Upper Adams SD,Adams,30926750.03,16046909.31,821577.6599999999,16868486.97,0.5454,13145114.36,0.425,913148.7,0.0295,,0.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,24838606.0,16772863.590000002,358228.41,17131092.0,0.6897,6431041.0,0.2589,1276473.0,0.0514,,0.0
1.0,103020753.0,Avonworth SD,Allegheny,39886702.96,26290304.99,334826.66000000003,26625131.65,0.6675,7666653.08,0.1922,583328.23,0.0146,5011590.0,0.1256
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,73616894.25,45917802.88,1257855.9,47175658.78,0.6408,24565521.85,0.3337,1875713.62,0.0255,,0.0
1.0,103021252.0,Bethel Park SD,Allegheny,90605225.7,62409635.550000004,1585081.7700000003,63994717.32,0.7063,24373677.98,0.269,1858877.14,0.0205,377953.26,0.0042
1.0,103021453.0,Brentwood Borough SD,Allegheny,25769885.73,14156855.27,358182.09,14515037.36,0.5633,10479723.07,0.4067,775125.3,0.0301,,0.0
1.0,103021603.0,Carlynton SD,Allegheny,30811273.0,20089494.32,442398.68,20531893.0,0.6664,9050636.0,0.2937,1228744.0,0.0399,,0.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,72753550.0,48789820.769999996,1544586.0200000003,50334406.79,0.6918,16394117.75,0.2253,2100978.02,0.0289,3924047.44,0.0539
1.0,103021903.0,Clairton City SD,Allegheny,17666154.22,3650488.1800000006,351324.83,4001813.01,0.2265,12112816.75,0.6857,1449061.5,0.082,102462.96,0.0058
1.0,103022103.0,Cornell SD,Allegheny,15345511.0,9490638.0,344282.0,9834920.0,0.6409,4364066.0,0.2844,1105373.0,0.072,41152.0,0.0027
1.0,103022253.0,Deer Lakes SD,Allegheny,37283743.45,21729966.709999997,759447.05,22489413.76,0.6032,13724616.49,0.3681,898654.0,0.0241,171059.2,0.0046
1.0,103022503.0,Duquesne City SD,Allegheny,20030981.52,1810181.2000000002,483158.41,2293339.61,0.1145,16118141.57,0.8047,1619500.34,0.0808,,0.0
1.0,103022803.0,East Allegheny SD,Allegheny,35055987.0,15290923.0,983435.0,16274358.0,0.4642,16954152.0,0.4836,1803537.0,0.0514,23940.0,0.0007
1.0,103023153.0,Elizabeth Forward SD,Allegheny,46117000.55,23257274.370000005,961253.0600000002,24218527.43,0.5252,19799282.23,0.4293,1559858.59,0.0338,539332.3,0.0117
1.0,103023912.0,Fox Chapel Area SD,Allegheny,103488822.48,78842615.78999999,784854.8300000001,79627470.62,0.7694,22070034.13,0.2133,1558319.29,0.0151,232998.44,0.0023
1.0,103024102.0,Gateway SD,Allegheny,77300084.74,53072496.99,973006.56,54045503.55,0.6992,20498321.95,0.2652,2756259.24,0.0357,,0.0
1.0,103024603.0,Hampton Township SD,Allegheny,55754873.82,38459344.42999999,420615.06999999995,38879959.5,0.6973,14868112.24,0.2667,1987105.2,0.0356,19696.88,0.0004
1.0,103024753.0,Highlands SD,Allegheny,47548523.0,20176833.0,756773.0,20933606.0,0.4403,23173589.0,0.4874,1478221.0,0.0311,1963107.0,0.0413
1.0,103025002.0,Keystone Oaks SD,Allegheny,45601235.73,29984375.28,773973.9099999999,30758349.19,0.6745,12502315.32,0.2742,2170571.22,0.0476,170000.0,0.0037
1.0,103026002.0,McKeesport Area SD,Allegheny,71124879.0,18352778.0,1233562.0,19586340.0,0.2754,44563791.0,0.6266,6974748.0,0.0981,,0.0
1.0,103026303.0,Montour SD,Allegheny,127552337.32,56906939.98,1389435.5199999998,58296375.5,0.457,14210139.97,0.1114,787068.88,0.0062,54258752.97,0.4254
1.0,103026343.0,Moon Area SD,Allegheny,128658561.31,61989954.629999995,1063809.37,63053764.0,0.4901,18711385.78,0.1454,1090442.43,0.0085,45802969.1,0.356
1.0,103026402.0,Mt Lebanon SD,Allegheny,102918868.99,76225681.31,1461358.1300000001,77687039.44,0.7548,23891209.3,0.2321,1334896.25,0.013,5724.0,0.0001
1.0,103026852.0,North Allegheny SD,Allegheny,179939174.8,134971659.66,3075457.1999999997,138047116.86,0.7672,37517479.89,0.2085,1787717.33,0.0099,2586860.72,0.0144
1.0,103026902.0,North Hills SD,Allegheny,87080015.93,61715496.12,901170.3799999999,62616666.5,0.7191,21607630.7,0.2481,2357680.28,0.0271,498038.45,0.0057
1.0,103026873.0,Northgate SD,Allegheny,27345357.0,14639957.0,468507.0,15108464.0,0.5525,8835277.0,0.3231,1031572.0,0.0377,2370044.0,0.0867
1.0,103027352.0,Penn Hills SD,Allegheny,89804912.4,50272625.42,1074928.92,51347554.34,0.5718,33998104.48,0.3786,4006128.23,0.0446,453125.35,0.005
1.0,103021003.0,Pine-Richland SD,Allegheny,137112341.0,71840166.0,1825643.0,73665809.0,0.5373,19028832.0,0.1388,1358543.0,0.0099,43059157.0,0.314
1.0,102027451.0,Pittsburgh SD,Allegheny,693673267.04,334143609.69,8769571.590000002,342913181.28,0.4943,288098948.19,0.4153,62514795.26,0.0901,146342.31,0.0002
1.0,103027503.0,Plum Borough SD,Allegheny,80521138.86,36093450.6,820920.49,36914371.09,0.4584,26814659.37,0.333,1414281.01,0.0176,15377827.39,0.191
1.0,103027753.0,Quaker Valley SD,Allegheny,53627577.0,43408580.0,496014.0,43904594.0,0.8187,8227427.0,0.1534,1495556.0,0.0279,,0.0
1.0,103028203.0,Riverview SD,Allegheny,35257004.79,17483891.799999997,255839.04999999996,17739730.85,0.5032,6741965.05,0.1912,685230.24,0.0194,10090078.65,0.2862
1.0,103028302.0,Shaler Area SD,Allegheny,98034256.22,55296151.23000001,1744022.1000000003,57040173.33,0.5818,28058109.59,0.2862,2938345.04,0.03,9997628.26,0.102
1.0,103028653.0,South Allegheny SD,Allegheny,26757310.96,7758758.34,703920.9800000001,8462679.32,0.3163,16647148.35,0.6222,1647483.29,0.0616,,0.0
1.0,103028703.0,South Fayette Township SD,Allegheny,62431963.38,45414369.74999999,750733.6799999998,46165103.43,0.7394,13850926.63,0.2219,1958656.32,0.0314,457277.0,0.0073
1.0,103028753.0,South Park SD,Allegheny,36678834.73,22305743.490000002,457215.88999999996,22762959.38,0.6206,13234767.42,0.3608,630896.93,0.0172,50211.0,0.0014
1.0,103028833.0,Steel Valley SD,Allegheny,37347835.19,19281586.040000003,591921.07,19873507.11,0.5321,16080665.04,0.4306,1367493.04,0.0366,26170.0,0.0007
1.0,103028853.0,Sto-Rox SD,Allegheny,31594670.45,7931944.88,827138.11,8759082.99,0.2772,19376023.67,0.6133,3231163.79,0.1023,228400.0,0.0072
1.0,103029203.0,Upper Saint Clair SD,Allegheny,89469274.37,67675195.97999999,1303751.3900000001,68978947.37,0.771,18501009.95,0.2068,785777.55,0.0088,1203539.5,0.0135
1.0,103029403.0,West Allegheny SD,Allegheny,67998251.61,47947284.87000001,900002.0900000001,48847286.96,0.7184,16467813.1,0.2422,1977339.4,0.0291,705812.15,0.0104
1.0,103029553.0,West Jefferson Hills SD,Allegheny,55571973.66,38071584.92,651396.6300000001,38722981.55,0.6968,15798761.96,0.2843,1050230.15,0.0189,,0.0
1.0,103029603.0,West Mifflin Area SD,Allegheny,70002514.32,30224227.520000003,5221609.579999999,35445837.1,0.5064,20620964.64,0.2946,2639598.58,0.0377,11296114.0,0.1614
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,33964891.0,13988362.860000001,858737.4500000001,14847100.31,0.4371,16637825.21,0.4899,2469450.55,0.0727,10514.93,0.0003
1.0,103029902.0,Woodland Hills SD,Allegheny,103078359.8,57992158.04,1366344.2899999998,59358502.33,0.5759,35232586.41,0.3418,5158690.73,0.05,3328580.33,0.0323
1.0,128030603.0,Apollo-Ridge SD,Armstrong,24534224.77,8021921.109999999,393918.73,8415839.84,0.343,15356870.57,0.6259,761514.36,0.031,,0.0
1.0,128030852.0,Armstrong SD,Armstrong,104415028.0,37644117.0,1601633.0,39245750.0,0.3759,57366835.0,0.5494,7802443.0,0.0747,,0.0
1.0,128033053.0,Freeport Area SD,Armstrong,32490557.82,18262621.08,417039.12,18679660.2,0.5749,12942715.2,0.3984,865932.42,0.0267,2250.0,0.0001
1.0,128034503.0,Leechburg Area SD,Armstrong,15417818.42,6411080.670000001,202645.82,6613726.49,0.429,8210420.94,0.5325,593670.99,0.0385,,0.0
1.0,127040503.0,Aliquippa SD,Beaver,23803897.36,6544100.71,471894.1,7015994.81,0.2947,14746766.69,0.6195,2041135.86,0.0857,,0.0
1.0,127040703.0,Ambridge Area SD,Beaver,49188642.98,25724107.0,727881.0,26451988.0,0.5378,20994673.49,0.4268,1724471.49,0.0351,17510.0,0.0004
1.0,127041203.0,Beaver Area SD,Beaver,35656608.58,21445852.27,1073726.56,22519578.83,0.6316,12096137.02,0.3392,862472.91,0.0242,178419.82,0.005
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,30576336.91,8259947.07,328842.35,8588789.42,0.2809,19869549.75,0.6498,2117997.74,0.0693,,0.0
1.0,127041603.0,Blackhawk SD,Beaver,40100128.01,20186439.180000003,857630.49,21044069.67,0.5248,18204104.3,0.454,851954.04,0.0212,,0.0
1.0,127042003.0,Central Valley SD,Beaver,39019478.55,21410410.309999995,624037.06,22034447.37,0.5647,15947851.86,0.4087,1037179.32,0.0266,,0.0
1.0,127042853.0,Freedom Area SD,Beaver,24589940.04,10457361.450000003,427817.70999999996,10885179.16,0.4427,12805537.87,0.5208,898405.01,0.0365,818.0,0.0
1.0,127044103.0,Hopewell Area SD,Beaver,42556474.01,21134669.639999997,493472.67999999993,21628142.32,0.5082,19800777.46,0.4653,1126054.23,0.0265,1500.0,0.0
1.0,127045303.0,Midland Borough SD,Beaver,5925312.02,818790.98,155777.3,974568.28,0.1645,4401091.4,0.7428,549652.34,0.0928,,0.0
1.0,127045653.0,New Brighton Area SD,Beaver,25983261.91,7417905.069999998,355051.05000000005,7772956.12,0.2992,17263765.56,0.6644,946540.23,0.0364,,0.0
1.0,127045853.0,Riverside Beaver County SD,Beaver,25658951.93,10134006.65,394270.44,10528277.09,0.4103,13978683.42,0.5448,1151991.42,0.0449,,0.0
1.0,127046903.0,Rochester Area SD,Beaver,17820927.69,5691425.54,365316.33999999997,6056741.88,0.3399,10573255.3,0.5933,1190930.51,0.0668,,0.0
1.0,127047404.0,South Side Area SD,Beaver,24449937.94,8944204.72,294417.47,9238622.19,0.3779,14644061.41,0.5989,567254.34,0.0232,,0.0
1.0,127049303.0,Western Beaver County SD,Beaver,14651296.93,4624224.6899999995,331785.36,4956010.05,0.3383,9246768.46,0.6311,448518.42,0.0306,,0.0
1.0,108051003.0,Bedford Area SD,Bedford,40046949.19,14308741.2,1091733.3399999999,15400474.54,0.3846,14586168.36,0.3642,1669127.29,0.0417,8391179.0,0.2095
1.0,108051503.0,Chestnut Ridge SD,Bedford,22966993.5,6406373.329999999,706214.1900000001,7112587.52,0.3097,14527067.82,0.6325,1327338.16,0.0578,,0.0
1.0,108053003.0,Everett Area SD,Bedford,22939648.84,8355386.680000002,642064.7700000001,8997451.45,0.3922,11861261.88,0.5171,2080935.51,0.0907,,0.0
1.0,108056004.0,Northern Bedford County SD,Bedford,14472023.07,4014991.7300000004,360282.7699999999,4375274.5,0.3023,9403844.23,0.6498,641904.34,0.0444,51000.0,0.0035
1.0,108058003.0,Tussey Mountain SD,Bedford,35447800.25,4906608.050000001,718848.2000000001,5625456.25,0.1587,12295192.0,0.3469,1329117.0,0.0375,16198035.0,0.457
1.0,114060503.0,Antietam SD,Berks,20677681.39,11476636.84,450301.25,11926938.09,0.5768,7661589.82,0.3705,864853.03,0.0418,224300.45,0.0108
